Artist,Title,,URL,Service,URL Slug,Raw Title
311,All Mixed Up,,http://youtube.com/watch?v=JjTjtJDZomw,YouTube,JjTjtJDZomw,311 - All Mixed Up
311,Down,,http://youtube.com/watch?v=lYBIRHi5-o8,YouTube,lYBIRHi5-o8,311 - Down-lYBIRHi5
3 Doors Down,Kryptonite,,http://youtube.com/watch?v=xPU8OAjjS4k,YouTube,xPU8OAjjS4k,3 Doors Down - Kryptonite
69 Boyz,Tootsee Roll,,http://youtube.com/watch?v=qs7f3ssuEjA,YouTube,qs7f3ssuEjA,69 boyz - Tootsee Roll
A-ha,Take on Me,,http://youtube.com/watch?v=djV11Xbc914,YouTube,djV11Xbc914,a-ha - Take On Me (Official Video)
Ace of Base,All That She Wants,,http://youtube.com/watch?v=d73tiBBzvFM,YouTube,d73tiBBzvFM,Ace of Base - All That She Wants (Official)
Ace of Base,Beautiful Life,,http://youtube.com/watch?v=wh-07BzfgYY,YouTube,wh-07BzfgYY,Ace of Base - Beautiful Life (Official)-wh
Ace of Base,The Sign,,http://youtube.com/watch?v=iqu132vTl5Y,YouTube,iqu132vTl5Y,Ace of Base - The Sign (Official)
Aerosmith,Crazy,,http://youtube.com/watch?v=NMNgbISmF4I,YouTube,NMNgbISmF4I,Aerosmith - Crazy
Aerosmith,Janie’s Got a Gun,,http://youtube.com/watch?v=RqQn2ADZE1A,YouTube,RqQn2ADZE1A,Aerosmith - Janie's Got A Gun
Alan Jackson,Chattahoochee,,http://youtube.com/watch?v=JW5UEW2kYvc,YouTube,JW5UEW2kYvc,Alan Jackson - Chattahoochee
Alanis Morissette,Thank U,,http://youtube.com/watch?v=OOgpT5rEKIU,YouTube,OOgpT5rEKIU,Alanis Morissette - Thank U (Official Music Video)
Alice In Chains,Man in the Box,,http://youtube.com/watch?v=TAqZb52sgpU,YouTube,TAqZb52sgpU,Alice In Chains - Man in the Box (Official Video)
Animotion,Obsession,,http://youtube.com/watch?v=hIs5StN8J-0,YouTube,hIs5StN8J-0,Animotion - Obsession-hIs5StN8J
Arrested Development,Mr. Wendal,,http://youtube.com/watch?v=wyDjRd0Tjss,YouTube,wyDjRd0Tjss,Arrested Development - Mr. Wendal-wyDjRd0Tjss
Arrested Development,Tennessee,,http://youtube.com/watch?v=6VCdJyOAQYM,YouTube,6VCdJyOAQYM,Arrested Development - Tennessee-6VCdJyOAQYM
Artists United Against Apartheid,Sun City,,http://youtube.com/watch?v=TlMdYpnVOGQ,YouTube,TlMdYpnVOGQ,Artists United Against Apartheid - Sun City (Official Video)
Avril Lavigne,Complicated,,http://youtube.com/watch?v=5NPBIwQyPWE,YouTube,5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video)
Backstreet Boys,Everybody (Backstreet’s Back),,http://youtube.com/watch?v=6M6samPEMpM,YouTube,6M6samPEMpM,Backstreet Boys - Everybody (Backstreet's Back) (Official Video)
Band Aid,Do They Know It’s Christmas,,http://youtube.com/watch?v=bjQzJAKxTrE,YouTube,,
Barenaked Ladies,One Week,,http://youtube.com/watch?v=fC_q9KPczAg,YouTube,fC_q9KPczAg,Barenaked Ladies - One Week (Video)
Beastie Boys,Intergalactic,,http://youtube.com/watch?v=qORYO0atB6g,YouTube,qORYO0atB6g,Beastie Boys - Intergalactic
